agent_id,user_id,cohort_id,activity_score,activity_level,strategy
A0118,2246008,C0,4.6931,low,hybrid_activity_behavior
A0117,422721,C0,13.5747,low,hybrid_activity_behavior
A0116,19238,C0,15.3982,low,hybrid_activity_behavior
A0115,19226,C0,20.0202,low,hybrid_activity_behavior
A0114,6781,C0,20.2983,low,hybrid_activity_behavior
A0113,471909,C0,26.0039,low,hybrid_activity_behavior
A0112,449042,C0,29.8416,low,hybrid_activity_behavior
A0111,49138,C0,30.2793,low,hybrid_activity_behavior
A0110,243670,C0,30.8752,low,hybrid_activity_behavior
A0109,19246,C0,31.7464,low,hybrid_activity_behavior
A0108,311725,C0,32.6391,low,hybrid_activity_behavior
A0107,17098,C0,35.9735,low,hybrid_activity_behavior
A0106,30475,C0,37.3561,low,hybrid_activity_behavior
A0105,123866,C0,39.3818,low,hybrid_activity_behavior
A0104,37812,C0,39.8892,low,hybrid_activity_behavior
A0103,996134,C0,44.1048,low,hybrid_activity_behavior
A0102,82449,C0,44.6438,low,hybrid_activity_behavior
A0101,30524,C0,44.7286,low,hybrid_activity_behavior
A0100,6520,C0,45.0462,low,hybrid_activity_behavior
A0099,199159,C0,46.9989,low,hybrid_activity_behavior
A0098,1320314,C0,50.118,low,hybrid_activity_behavior
A0097,77335,C0,50.3072,low,hybrid_activity_behavior
A0096,422679,C0,51.8608,low,hybrid_activity_behavior
A0095,297940,C0,53.4271,low,hybrid_activity_behavior
A0094,780,C1,53.6058,low,hybrid_activity_behavior
A0093,65007,C1,53.8035,low,hybrid_activity_behavior
A0092,36152,C1,54.063,low,hybrid_activity_behavior
A0091,156164,C1,59.233,low,hybrid_activity_behavior
A0090,63813,C1,60.6816,low,hybrid_activity_behavior
A0089,101298,C1,61.7075,low,hybrid_activity_behavior
A0088,94,C1,65.2425,low,hybrid_activity_behavior
A0087,6826,C1,75.1101,low,hybrid_activity_behavior
A0086,94421,C1,75.1269,low,hybrid_activity_behavior
A0085,6846,C1,75.1876,low,hybrid_activity_behavior
A0084,5744,C1,76.956,low,hybrid_activity_behavior
A0083,4113,C1,89.2311,low,hybrid_activity_behavior
A0082,45241,C1,91.2759,low,hybrid_activity_behavior
A0081,288354,C1,97.0097,low,hybrid_activity_behavior
A0080,163377,C1,97.1476,low,hybrid_activity_behavior
A0079,31395,C1,98.0822,middle,hybrid_activity_behavior
A0078,2460,C1,100.6046,middle,hybrid_activity_behavior
A0077,226029,C1,102.7714,middle,hybrid_activity_behavior
A0076,211076,C1,105.3613,middle,hybrid_activity_behavior
A0075,31501,C1,105.7322,middle,hybrid_activity_behavior
A0074,320273,C1,110.5645,middle,hybrid_activity_behavior
A0073,64000,C1,115.3483,middle,hybrid_activity_behavior
A0072,959962,C1,121.5491,middle,hybrid_activity_behavior
A0071,8,C1,124.7333,middle,hybrid_activity_behavior
A0070,33296,C2,133.6695,middle,hybrid_activity_behavior
A0069,18330,C2,133.8697,middle,hybrid_activity_behavior
A0068,509872,C2,142.541,middle,hybrid_activity_behavior
A0067,161054,C2,144.763,middle,hybrid_activity_behavior
A0066,2487,C2,148.4973,middle,hybrid_activity_behavior
A0065,4293,C2,155.9026,middle,hybrid_activity_behavior
A0064,32905,C2,157.556,middle,hybrid_activity_behavior
A0063,117794,C2,157.5897,middle,hybrid_activity_behavior
A0062,6724,C2,164.411,middle,hybrid_activity_behavior
A0061,64885,C2,165.4954,middle,hybrid_activity_behavior
A0060,66009,C2,166.0186,middle,hybrid_activity_behavior
A0059,46200,C2,171.7694,middle,hybrid_activity_behavior
A0058,6567,C2,172.2508,middle,hybrid_activity_behavior
A0057,274625,C2,177.9868,middle,hybrid_activity_behavior
A0056,130,C2,178.9558,middle,hybrid_activity_behavior
A0055,42722,C2,180.0951,middle,hybrid_activity_behavior
A0054,5666,C2,184.1632,middle,hybrid_activity_behavior
A0053,100727,C2,184.2542,middle,hybrid_activity_behavior
A0052,125460,C2,188.9773,middle,hybrid_activity_behavior
A0051,51,C2,210.4598,middle,hybrid_activity_behavior
A0050,190011,C2,210.4622,middle,hybrid_activity_behavior
A0049,628,C2,226.9583,middle,hybrid_activity_behavior
A0048,49038,C2,227.7081,middle,hybrid_activity_behavior
A0047,88639,C2,231.9036,middle,hybrid_activity_behavior
A0046,88616,C3,233.1107,middle,hybrid_activity_behavior
A0045,121736,C3,242.4451,middle,hybrid_activity_behavior
A0044,195713,C3,272.3771,middle,hybrid_activity_behavior
A0043,27123,C3,280.6291,middle,hybrid_activity_behavior
A0042,389,C3,281.7904,middle,hybrid_activity_behavior
A0041,161564,C3,293.0059,middle,hybrid_activity_behavior
A0040,172477,C3,296.3306,middle,hybrid_activity_behavior
A0039,64913,C3,297.5989,high,hybrid_activity_behavior
A0038,2483,C3,298.7436,high,hybrid_activity_behavior
A0037,30506,C3,301.8395,high,hybrid_activity_behavior
A0036,88581,C3,305.8034,high,hybrid_activity_behavior
A0035,515720,C3,308.9324,high,hybrid_activity_behavior
A0034,61595,C3,310.2849,high,hybrid_activity_behavior
A0033,1419015,C3,314.2691,high,hybrid_activity_behavior
A0032,46756,C3,346.5535,high,hybrid_activity_behavior
A0031,30435,C3,373.9563,high,hybrid_activity_behavior
A0030,3060,C3,393.2034,high,hybrid_activity_behavior
A0029,507093,C3,401.5427,high,hybrid_activity_behavior
A0028,2493,C3,420.2179,high,hybrid_activity_behavior
A0027,34671,C3,463.0468,high,hybrid_activity_behavior
A0026,19256,C3,466.6053,high,hybrid_activity_behavior
A0025,5710,C3,470.6261,high,hybrid_activity_behavior
A0024,95728,C3,474.4045,high,hybrid_activity_behavior
A0023,27967,C3,482.1747,high,hybrid_activity_behavior
A0022,122809,C4,489.4336,high,hybrid_activity_behavior
A0021,195198,C4,498.4019,high,hybrid_activity_behavior
A0020,205849,C4,522.5549,high,hybrid_activity_behavior
A0019,45676,C4,529.7513,high,hybrid_activity_behavior
A0018,200724,C4,558.3749,high,hybrid_activity_behavior
A0017,361062,C4,560.2004,high,hybrid_activity_behavior
A0016,184303,C4,585.1333,high,hybrid_activity_behavior
A0015,488489,C4,644.3969,high,hybrid_activity_behavior
A0014,34586,C4,655.6048,high,hybrid_activity_behavior
A0013,81413,C4,711.3013,high,hybrid_activity_behavior
A0012,64509,C4,754.5297,high,hybrid_activity_behavior
A0011,36146,C4,781.3405,high,hybrid_activity_behavior
A0010,226062,C4,876.2646,high,hybrid_activity_behavior
A0009,2481,C4,890.4535,high,hybrid_activity_behavior
A0008,24887,C4,1081.3903,high,hybrid_activity_behavior
A0007,46455,C4,1096.7896,high,hybrid_activity_behavior
A0006,34218,C4,1097.6285,high,hybrid_activity_behavior
A0005,64830,C4,1265.1684,high,hybrid_activity_behavior
A0004,24884,C4,1331.652,high,hybrid_activity_behavior
A0003,683,C4,2018.8506,high,hybrid_activity_behavior
A0002,33695,C4,2063.9488,high,hybrid_activity_behavior
A0001,24957,C4,2430.9047,high,hybrid_activity_behavior
A0000,37717,C4,3512.1663,high,hybrid_activity_behavior
