thread_id,root_time,thread_len,matched_post_count,join_coverage,matched_post_ids,matched_user_ids,matched_post_positions
2223612,202304182218,8,2,0.25,"135178,135183","34218,34218","2,4"
7845281,202304190002,39,2,0.051282,"135169,135178","2481,34218","0,4"
47139411,202304191217,12,2,0.166667,"135183,129308","34218,31501","5,10"
29707030,202304191251,11,2,0.181818,"135068,129308","2481,31501","2,9"
4447826,202304191533,159,3,0.018868,"135195,129308,135068","6826,31501,2481","12,92,116"
31369920,202304191821,3,2,0.666667,"135178,135195","34218,6826","0,1"
1376214,202304222350,323,2,0.006192,"379141,693172","33695,488489","37,159"
956024,202304272017,966,4,0.004141,"383014,135324,302589,75261","33695,19238,34218,81413","20,71,685,686"
412394,202305090204,81,2,0.024691,"131409,726518","32905,161564","48,78"
960654,202305091539,315,2,0.006349,"379141,384030","33695,33695","29,144"
40425,202305140926,10808,15,0.001388,"131409,526005,134998,725509,1579702,447283,382301,382466,382706,382955,383162,384030,384737,125868,127757","32905,2481,628,184303,172477,320273,46200,226062,226062,121736,64830,33695,195198,4113,2460","189,884,1650,1896,2682,7057,7284,7367,7429,7498,7591,7856,8025,9044,9540"
357865,202305162155,965,2,0.002073,"578915,126766","130,4113","639,886"
373040,202305262353,1406,4,0.002845,"131679,134220,135224,278263","64509,2481,2487,6567","105,514,671,1336"
5923434,202306072353,50,2,0.04,"131409,395637","32905,94421","33,44"
649596,202306221449,664,2,0.003012,"526005,399109","2481,6826","541,570"
71005680,202306221920,6,2,0.333333,"374670,122319","34586,2481","3,4"
26379225,202307011532,3,2,0.666667,"126766,375511","4113,5744","1,2"
34619736,202307011747,3,2,0.666667,"212210,212207","2481,64509","0,1"
62564,202307012048,355,2,0.005634,"383015,374494","33695,33695","13,291"
8433432,202307021737,4,2,0.5,"134220,134199","2481,4113","1,3"
56659407,202307022359,4,2,0.5,"134220,134199","2481,4113","1,3"
122331851,202307030050,5,2,0.4,"374670,122319","34586,2481","1,2"
70286481,202307031238,9,2,0.222222,"375335,375352","5744,19246","1,8"
530865,202307031631,280,3,0.010714,"554690,384732,39905","30506,34218,389","105,115,261"
74283,202307040238,190,3,0.015789,"131679,663430,39905","64509,243670,389","30,129,175"
11223,202307041343,1530,2,0.001307,"126439,554690","81413,30506","647,1084"
2839372,202307041432,96,2,0.020833,"384030,10824","33695,297940","4,12"
3266765,202307041831,41,2,0.04878,"86792,134154","64000,195198","1,2"
26379059,202307042029,4,2,0.5,"126766,122319","4113,2481","2,3"
13076430,202307042131,14,2,0.142857,"86756,86792","18330,64000","3,7"
12949404,202307042225,5,2,0.4,"126766,122319","4113,2481","1,2"
6027357,202307042230,109,2,0.018349,"135278,128477","6846,27967","21,102"
111236,202307071905,1003,4,0.003988,"392041,377828,132246,376502","51,37717,45676,2493","417,472,561,857"
1630266,202307091539,111,2,0.018018,"10824,395584","297940,24887","15,71"
23615998,202307120313,6,2,0.333333,"134220,134199","2481,4113","2,4"
1396994,202307121554,114,2,0.017544,"65614,395584","683,24887","18,83"
10126873,202307121650,36,2,0.055556,"131409,131175","32905,45676","21,27"
2744,202307130637,642,2,0.003115,"131175,381382","45676,226062","37,127"
1717719,202307131426,90,2,0.022222,"131175,131409","45676,32905","17,59"
164964,202307150438,632,2,0.003165,"131175,381382","45676,226062","51,149"
21152,202307160101,186,2,0.010753,"851741,179028","31395,3060","94,118"
1360120,202307172100,189,2,0.010582,"399109,132366","6826,6567","93,96"
1252262,202307182333,127,2,0.015748,"131175,395646","45676,34218","32,99"
153171,202307191220,150,2,0.013333,"384030,131175","33695,45676","13,28"
5237831,202307201922,136,2,0.014706,"384732,136110","34218,46756","57,116"
736388,202307202008,220,2,0.009091,"131175,131409","45676,32905","53,158"
4164536,202307210108,33,2,0.060606,"131409,131175","32905,45676","17,23"
4164440,202307210346,12,2,0.166667,"131175,131409","45676,32905","3,6"
202750,202307211519,568,2,0.003521,"131175,497419","45676,509872","32,513"
255282,202307220408,2037,4,0.001964,"213093,725404,382694,188393","172477,2483,34218,64830","35,1105,1452,2032"
204617,202307230029,218,2,0.009174,"331520,379141","195713,33695","108,111"
12440854,202307232017,26,2,0.076923,"131409,131175","32905,45676","16,22"
366109,202307241727,118,2,0.016949,"127158,384737","64509,195198","35,49"
10931203,202307242038,5,2,0.4,"20180,826613","2493,4293","2,3"
2077784,202307250015,46,2,0.043478,"65451,127158","88616,64509","11,17"
186666,202307250038,773,3,0.003881,"383454,133649,122402","226029,3060,34218","161,174,570"
20029540,202307251540,6,2,0.333333,"135502,1502326","24957,30524","1,4"
15419146,202307252047,13,2,0.153846,"376921,376956","122809,34671","10,12"
60539512,202307252149,12,2,0.166667,"131175,131409","45676,32905","0,6"
255272,202307261136,29,2,0.068966,"132760,196388","2481,34218","2,6"
396070,202307261320,279,2,0.007168,"1536286,109891","2246008,130","158,180"
1685845,202307261411,6,2,0.333333,"20180,826613","2493,4293","2,3"
2456465,202307261456,21,2,0.095238,"395584,65614","24887,683","13,14"
17244155,202307261517,14,2,0.142857,"131175,131409","45676,32905","4,8"
19796092,202307261553,7,2,0.285714,"129858,131175","27967,45676","0,1"
2859804,202307261733,170,2,0.011765,"132760,196388","2481,34218","58,99"
37304401,202307262103,32,2,0.0625,"65451,558047","88616,3060","14,23"
20712322,202307262323,7,2,0.285714,"129221,128340","2481,66009","1,5"
39018265,202307271236,3,2,0.666667,"20180,826613","2493,4293","1,2"
255087,202307271413,106,2,0.018868,"526005,196388","2481,34218","40,61"
46435,202307271520,1549,2,0.001291,"134874,127158","61595,64509","723,820"
242491,202307271604,36,2,0.055556,"65614,131175","683,45676","20,26"
504163,202307271848,668,2,0.002994,"131104,377828","184303,37717","11,323"
78471027,202307271904,3,2,0.666667,"1502326,135502","30524,24957","1,2"
119678,202307281624,566,2,0.003534,"375630,375644","361062,507093","191,201"
1102670,202307281946,357,2,0.005602,"129581,554690","46455,30506","81,300"
308610,202307291652,402,2,0.004975,"375644,196388","507093,34218","149,343"
454337,202307292324,348,2,0.005747,"65614,122319","683,2481","18,239"
735441,202307300010,280,2,0.007143,"109891,579502","130,36146","171,237"
2859686,202307301449,75,2,0.026667,"196388,375644","34218,507093","20,60"
1669247,202307301655,261,2,0.007663,"131175,109891","45676,130","48,163"
735979,202307311643,115,2,0.017391,"131175,131409","45676,32905","35,78"
23396970,202307312010,27,2,0.074074,"131409,131175","32905,45676","14,18"
9415440,202307312328,13,3,0.230769,"376932,376921,376956","4113,122809,34671","1,8,11"
73364,202307312357,193,2,0.010363,"122402,382530","34218,226062","13,22"
16772834,202308011836,4,2,0.5,"376921,376956","122809,34671","0,2"
10297872,202308011846,6,2,0.333333,"20180,826613","2493,4293","3,4"
3462802,202308021340,55,2,0.036364,"127158,134615","64509,200724","21,37"
15418979,202308021752,11,2,0.181818,"376932,376956","4113,34671","1,10"
15738958,202308021837,20,2,0.1,"131175,2576875","45676,488489","12,15"
137926037,202308060023,5,2,0.4,"131175,2576875","45676,488489","0,3"
221022,202308071856,164,3,0.018293,"131175,399109,377828","45676,6826,37717","38,82,152"
576546,202308072037,20,2,0.1,"128477,131175","27967,45676","13,14"
28514573,202308072158,4,2,0.5,"128669,213382","24887,24884","2,3"
7297218,202308091511,12,2,0.166667,"213382,128669","24884,24887","2,11"
101849114,202308091635,3,2,0.666667,"578706,129107","205849,42722","0,1"
20912830,202308091914,12,2,0.166667,"1622436,497419","8,509872","1,4"
3177390,202308101957,44,2,0.045455,"129858,131175","27967,45676","21,34"
256627,202308102259,393,2,0.005089,"391902,1078446","24887,628","119,224"
4685851,202308111404,26,2,0.076923,"134615,131175","200724,45676","18,22"
5631964,202308111744,35,2,0.057143,"213382,128669","24884,24887","0,5"
28514505,202308122138,3,2,0.666667,"128669,213382","24887,24884","1,2"
25574711,202308141209,7,2,0.285714,"135502,1502326","24957,30524","2,6"
4479545,202308141506,17,2,0.117647,"1009109,826613","37717,4293","13,15"
28514488,202308141515,4,2,0.5,"213382,128669","24884,24887","0,2"
28514474,202308142215,3,2,0.666667,"128669,213382","24887,24884","1,2"
4160599,202308150212,10,2,0.2,"131104,131175","184303,45676","0,2"
29232,202308151559,1007,2,0.001986,"65614,447283","683,320273","44,396"
10897202,202308152316,45,2,0.044444,"135719,302589","27967,34218","16,43"
9954763,202308160512,64,2,0.03125,"523140,131175","628,45676","3,50"
2222904,202308161635,33,2,0.060606,"126329,131409","2493,32905","17,19"
17476129,202308180402,8,2,0.25,"1009109,302589","37717,34218","4,6"
26281,202308182134,556,2,0.003597,"65614,376043","683,88639","25,330"
2035683,202308182314,257,2,0.007782,"131175,127158","45676,64509","54,94"
427816,202308191419,585,2,0.003419,"129581,579014","46455,6846","164,411"
5931224,202308191641,90,2,0.022222,"131104,131175","184303,45676","6,18"
20159,202308191707,150,2,0.013333,"526005,1914618","2481,959962","54,76"
1804187,202308191718,15,2,0.133333,"213382,128669","24884,24887","5,14"
24821,202308192013,116,2,0.017241,"395589,188393","628,64830","81,113"
124839708,202308201713,4,2,0.5,"579992,579997","24957,24957","0,3"
4365488,202308210227,101,2,0.019802,"122402,447283","34218,320273","7,62"
28514380,202308210937,8,2,0.25,"213382,128669","24884,24887","1,6"
42697931,202308220806,5,2,0.4,"579992,579997","24957,24957","1,4"
5492735,202308221325,102,2,0.019608,"86143,200379","81413,63813","32,42"
138044717,202308221840,4,2,0.5,"579992,579997","24957,24957","0,3"
7361201,202308231911,129,2,0.015504,"131104,131175","184303,45676","11,36"
427773,202308231916,124,2,0.016129,"554690,131409","30506,32905","41,75"
117017,202308241844,385,2,0.005195,"213093,196388","172477,34218","13,334"
75156799,202308242106,6,2,0.333333,"135502,1502326","24957,30524","2,4"
2713793,202308250434,93,2,0.021505,"131175,395552","45676,683","13,51"
5714460,202308251335,10,2,0.2,"399109,129338","6826,45676","2,8"
72269,202308251700,592,2,0.003378,"196044,380597","27123,36146","417,486"
4869829,202308251932,105,2,0.019048,"10824,399109","297940,6826","17,50"
1041657,202308252219,5,2,0.4,"3255558,65614","64830,683","0,2"
1290659,202308252234,380,2,0.005263,"376043,1009109","88639,37717","234,275"
13747645,202308260134,15,2,0.133333,"128664,128669","2481,24887","10,13"
5217567,202308260913,16,2,0.125,"131104,131175","184303,45676","1,5"
7360821,202308261437,68,2,0.029412,"131104,131175","184303,45676","23,55"
11587684,202308261829,12,2,0.166667,"131175,378350","45676,33695","1,7"
12436196,202308262131,14,2,0.142857,"131104,131175","184303,45676","1,2"
521381,202308271343,143,3,0.020979,"131175,127158,377828","45676,64509,37717","33,56,133"
1041624,202308280808,25,2,0.08,"3255558,65614","64830,683","0,17"
20659722,202308281409,7,2,0.285714,"196042,196044","64830,27123","2,4"
520563,202308281638,23,2,0.086957,"131104,131175","184303,45676","8,20"
28514298,202308290752,11,2,0.181818,"213382,128669","24884,24887","3,10"
367561,202308291224,88,2,0.022727,"526005,382301","2481,46200","29,51"
521908,202308291438,225,2,0.008889,"131104,131175","184303,45676","17,58"
4823401,202308291604,126,2,0.015873,"526005,376043","2481,88639","41,60"
885882,202308302146,102,2,0.019608,"131104,131175","184303,45676","5,22"
10954036,202308310849,25,2,0.08,"131104,131175","184303,45676","7,20"
6847827,202308311238,105,2,0.019048,"131175,127158","45676,64509","23,46"
28514260,202308311919,5,2,0.4,"213382,128669","24884,24887","0,4"
734956,202309021446,71,2,0.028169,"131409,131175","32905,45676","43,56"
367518,202309030951,164,2,0.012195,"213052,196388","24884,34218","22,95"
59807961,202309031019,4,2,0.5,"384433,132246","226062,45676","0,3"
2378128,202309031439,21,2,0.095238,"65614,126329","683,2493","10,18"
1403979,202309031952,185,2,0.010811,"131175,382301","45676,46200","43,126"
11799295,202309040726,6,2,0.333333,"663430,16657","243670,5710","2,3"
2858635,202309041337,319,3,0.009404,"579117,132760,526005","64885,2481,2481","244,269,273"
32582,202309041425,10,2,0.2,"129219,936841","161564,19256","1,4"
90402,202309041601,329,2,0.006079,"131175,65519","45676,780","19,325"
521484,202309050211,37,2,0.054054,"131104,131175","184303,45676","8,32"
2450894,202309051740,141,2,0.014184,"131175,399109","45676,6826","24,66"
220478,202309051839,59,2,0.033898,"131104,131175","184303,45676","13,50"
521620,202309052331,54,2,0.037037,"131104,131175","184303,45676","11,41"
12683521,202309060951,23,2,0.086957,"663430,16657","243670,5710","2,5"
8903592,202309070559,25,2,0.08,"131104,131175","184303,45676","5,17"
120990,202309071737,1388,6,0.004323,"131175,134615,126503,578036,302589,384732","45676,200724,34218,30435,34218,34218","23,596,601,764,1299,1333"
26402402,202309071907,18,2,0.111111,"131175,135224","45676,2487","4,12"
7296439,202309091743,40,2,0.05,"213382,128669","24884,24887","0,6"
71058835,202309092301,5,2,0.4,"196044,196049","27123,64830","1,3"
43164216,202309101027,7,2,0.285714,"714948,937017","94,389","1,6"
367478,202309101801,159,3,0.018868,"213093,132760,196388","172477,2481,34218","28,45,76"
28973609,202309120015,11,2,0.181818,"578509,578573","628,64830","3,4"
697621,202309121609,195,2,0.010256,"131175,497419","45676,509872","33,95"
894692,202309122250,261,2,0.007663,"131175,384442","45676,24957","45,226"
116818,202309122300,551,4,0.00726,"213093,526005,399109,196388","172477,2481,6826,34218","39,444,458,476"
24417742,202309130738,4,2,0.5,"378740,378902","1419015,33695","1,2"
1359705,202309131718,142,2,0.014085,"384737,65519","195198,780","53,140"
4868761,202309131950,11,2,0.181818,"131175,10824","45676,297940","3,4"
56976799,202309132009,4,2,0.5,"16657,663430","5710,243670","1,2"
3204301,202309140106,52,2,0.038462,"2650880,65451","130,88616","0,19"
523660,202309140718,149,2,0.013423,"382914,578036","449042,30435","129,143"
885281,202309141051,447,3,0.006711,"382358,134615,278198","46200,200724,6567","303,317,364"
21289513,202309141453,7,2,0.285714,"663430,16657","243670,5710","0,3"
734565,202309141607,225,2,0.008889,"131175,131409","45676,32905","53,140"
4948023,202309141932,63,2,0.031746,"131104,131409","184303,32905","26,48"
142160142,202309151518,3,2,0.666667,"382242,382247","46200,33695","1,2"
524482,202309152040,69,2,0.028986,"86323,400216","3060,2487","30,55"
1387421,202309160205,204,2,0.009804,"526005,131409","2481,32905","79,138"
1971838,202309161343,210,2,0.009524,"131104,131175","184303,45676","21,63"
38522481,202309162116,5,2,0.4,"663430,16657","243670,5710","0,4"
521070,202309171422,142,2,0.014085,"131175,813531","45676,2481","30,140"
182202,202309172324,690,3,0.004348,"578573,1078446,251225","64830,628,2493","343,402,452"
947469,202309180044,257,3,0.011673,"134220,1078446,126329","2481,628,2493","40,92,192"
591714,202309181051,14,2,0.142857,"384433,132246","226062,45676","7,10"
26242,202309181623,893,2,0.00224,"65578,129338","5710,45676","16,135"
122377390,202309190155,3,2,0.666667,"126722,126643","161564,46756","0,1"
36920366,202309191029,5,2,0.4,"128170,383059","37717,226062","0,1"
420470,202309191457,221,2,0.00905,"377898,16657","34671,5710","23,112"
4537458,202309201611,32,2,0.0625,"1167700,358261","2493,130","23,29"
108544663,202309210510,9,2,0.222222,"131175,131409","45676,32905","0,3"
1517860,202309211008,61,2,0.032787,"384078,39905","471909,389","36,48"
2191040,202309211935,17,2,0.117647,"131175,131409","45676,32905","4,9"
8588377,202309220000,43,2,0.046512,"131104,131175","184303,45676","11,34"
5371525,202309220102,18,2,0.111111,"814153,132366","64885,6567","3,6"
116639,202309221109,331,2,0.006042,"213052,196388","24884,34218","19,285"
2222645,202309221230,70,2,0.028571,"65451,134615","88616,200724","27,52"
19364,202309222118,297,2,0.006734,"384732,1167700","34218,2493","123,187"
1971963,202309231334,180,2,0.011111,"131104,131175","184303,45676","11,49"
1357475,202309232003,20,2,0.1,"715685,131175","161564,45676","3,14"
10856892,202309240041,5,2,0.4,"212644,126439","34218,81413","0,1"
2782533,202309240752,51,2,0.039216,"131104,131175","184303,45676","14,44"
1617779,202309241756,126,2,0.015873,"128547,202437","161054,156164","7,44"
3258149,202309250059,16,2,0.125,"131104,131175","184303,45676","0,5"
46579,202309250307,788,2,0.002538,"698947,659089","2460,422679","226,648"
953610,202309251007,116,2,0.017241,"16657,382247","5710,33695","62,65"
3723716,202309251106,262,2,0.007634,"213093,526005","172477,2481","47,85"
5317602,202309251249,87,3,0.034483,"132768,526005,877889","996134,2481,4293","30,35,59"
32423590,202309251424,18,2,0.111111,"131175,126329","45676,2493","1,4"
232839,202309251818,168,2,0.011905,"814153,526005","64885,2481","30,60"
12792863,202309252348,8,2,0.25,"578517,578525","683,64830","4,7"
36250,202309261556,111,2,0.018018,"384732,384433","34218,226062","45,86"
136478677,202309261723,6,2,0.333333,"134615,376506","200724,33695","0,4"
1800647,202309261728,149,2,0.013423,"382914,578036","449042,30435","136,147"
62276747,202309261837,8,2,0.25,"384433,134109","226062,4113","2,6"
4043698,202309262129,219,2,0.009132,"127042,497419","61595,509872","25,110"
531912,202309271043,640,2,0.003125,"382449,399109","36146,6826","463,560"
148838710,202309272047,4,2,0.5,"196049,196044","64830,27123","1,2"
71058759,202309280455,3,2,0.666667,"196049,196044","64830,27123","0,1"
27835188,202309280753,18,2,0.111111,"132246,382397","45676,46200","16,17"
1217632,202309281754,740,5,0.006757,"382301,132746,132768,526005,196388","46200,45676,996134,2481,34218","473,583,595,606,647"
39584065,202309282021,10,2,0.2,"196042,196049","64830,64830","1,6"
2821977,202309290156,121,2,0.016529,"384732,129858","34218,27967","51,79"
27429768,202309290205,3,2,0.666667,"75427,75492","199159,184303","1,2"
1177821,202309290504,193,2,0.010363,"400331,127966","130,2481","158,177"
164863,202309291527,380,2,0.005263,"127757,400572","2460,130","154,250"
71058742,202309300552,5,2,0.4,"196044,196049","27123,64830","1,3"
1273096,202310010356,245,2,0.008163,"135224,384732","2487,34218","21,108"
33384423,202310010518,6,2,0.333333,"196044,196049","27123,64830","1,2"
44639134,202310012108,6,2,0.333333,"135503,698810","24957,130","3,4"
819267,202310021419,15,2,0.133333,"377828,131175","37717,45676","4,6"
3310867,202310021507,18,2,0.111111,"86309,196049","37812,64830","4,9"
163703,202310021538,137,2,0.014599,"384732,715685","34218,161564","60,116"
68450275,202310021952,4,2,0.5,"196049,196044","64830,27123","0,1"
1678644,202310021956,50,2,0.04,"98700,127714","130,6567","8,34"
562997,202310030832,392,4,0.010204,"381285,127524,127744,400572","37717,2481,19256,130","71,146,179,267"
58738300,202310031157,3,2,0.666667,"130720,130749","51,6567","0,2"
2427088,202310031214,350,2,0.005714,"131175,384732","45676,34218","16,307"
2282491,202310031217,33,2,0.060606,"127714,127723","6567,2460","25,28"
19475823,202310040618,5,2,0.4,"128669,128664","24887,2481","1,3"
20921679,202310040748,6,2,0.333333,"196044,196049","27123,64830","1,2"
562995,202310041012,125,2,0.016,"127524,578036","2481,30435","5,120"
563000,202310041400,139,2,0.014388,"127524,127385","2481,101298","5,110"
9711914,202310041432,30,2,0.066667,"196044,196049","27123,64830","16,17"
128714443,202310041504,3,2,0.666667,"196042,196052","64830,36146","0,1"
40880760,202310041553,3,2,0.666667,"196049,196044","64830,27123","0,1"
264268,202310041630,268,2,0.007463,"526005,188393","2481,64830","92,251"
8258765,202310050416,45,2,0.044444,"131104,131175","184303,45676","5,36"
124768415,202310050435,4,2,0.5,"131104,131175","184303,45676","0,3"
12782535,202310050726,51,2,0.039216,"382914,196049","449042,64830","28,37"
8769814,202310050732,48,2,0.041667,"98700,382914","130,449042","4,24"
108482,202310051138,301,2,0.006645,"196044,196049","27123,64830","127,175"
24268448,202310051333,10,2,0.2,"382758,131175","33695,45676","2,3"
163288,202310061233,107,2,0.018692,"507556,447283","32905,320273","38,65"
422597,202310061352,116,2,0.017241,"127723,65451","2460,88616","57,95"
111911630,202310061837,4,3,0.75,"196042,196044,196049","64830,27123,64830","0,2,3"
68840009,202310062032,8,2,0.25,"196042,196044","64830,27123","2,3"
37490995,202310062122,4,2,0.5,"134220,134199","2481,4113","1,2"
12209800,202310062127,3,2,0.666667,"196042,196044","64830,27123","0,1"
2511090,202310071341,130,2,0.015385,"814153,65451","64885,88616","17,108"
733480,202310071533,118,2,0.016949,"127723,65451","2460,88616","57,95"
482621,202310071603,110,2,0.018182,"212806,126329","34218,2493","66,86"
163113,202310071706,436,2,0.004587,"131175,384732","45676,34218","13,370"
6980489,202310071947,15,2,0.133333,"383887,383903","36146,226062","7,14"
28976739,202310072116,7,2,0.285714,"196042,196049","64830,64830","1,3"
178276,202310072338,2057,4,0.001945,"131721,698947,716096,578573","2493,2460,64509,64830","204,671,878,1336"
5853534,202310072346,48,2,0.041667,"131175,376043","45676,88639","42,44"
3102297,202310080132,108,3,0.027778,"10824,131175,399109","297940,45676,6826","12,20,52"
118258533,202310080614,4,2,0.5,"131104,131175","184303,45676","1,3"
1633384,202310080725,18,2,0.111111,"16657,16660","5710,628","9,10"
30302211,202310080928,5,2,0.4,"196044,196049","27123,64830","1,2"
464033,202310081450,232,3,0.012931,"10824,993600,129858","297940,288354,27967","25,140,141"
1373070,202310081628,44,2,0.045455,"129219,129221","161564,2481","25,30"
6846701,202310090907,123,2,0.01626,"384732,400203","34218,130","46,81"
7295628,202310091106,11,2,0.181818,"213382,128669","24884,24887","3,9"
10192376,202310091239,45,2,0.044444,"557824,578036","19226,30435","0,40"
4071274,202310091445,4,2,0.5,"382252,382239","46200,46200","1,3"
15928998,202310091629,4,2,0.5,"10824,851381","297940,51","0,3"
25020,202310091821,125,2,0.016,"134656,127385","36146,101298","0,100"
12187468,202310091833,5,2,0.4,"377826,377828","122809,37717","0,1"
9926525,202310092142,16,2,0.125,"128669,128604","24887,77335","13,15"
2146750,202310092201,261,2,0.007663,"399109,131409","6826,32905","127,171"
344615,202310092227,537,2,0.003724,"384732,497419","34218,509872","469,485"
89803,202310092317,462,3,0.006494,"526005,399109,579502","2481,6826,36146","377,402,441"
1110613,202310100229,95,2,0.021053,"579714,526005","24957,2481","19,29"
62384975,202310101045,4,2,0.5,"579992,579997","24957,24957","0,2"
422843,202310101434,152,2,0.013158,"131104,131175","184303,45676","9,45"
89806,202310101642,195,2,0.010256,"2508311,399109","88581,6826","11,98"
9024773,202310101754,6,2,0.333333,"16657,16660","5710,628","2,3"
124768092,202310110356,3,2,0.666667,"131104,131175","184303,45676","1,2"
2781849,202310110449,335,2,0.00597,"131175,579502","45676,36146","24,328"
28513795,202310111230,12,2,0.166667,"213382,128669","24884,24887","0,1"
1616398,202310112010,20,2,0.1,"92074,134220","51,2481","10,14"
562875,202310120506,265,2,0.007547,"127524,127385","2481,101298","28,211"
24057892,202310120706,19,2,0.105263,"16657,16660","5710,628","2,4"
124768057,202310121522,4,2,0.5,"131104,131175","184303,45676","0,3"
2610674,202310121706,108,3,0.027778,"131175,399109,131409","45676,6826,32905","18,53,72"
20623874,202310121917,10,2,0.2,"814153,135224","64885,2487","3,8"
678908,202310121942,312,2,0.00641,"715115,579014","628,6846","64,234"
646428,202310122202,1281,4,0.003123,"131721,526005,129221,384048","2493,2481,2481,64830","88,290,1010,1136"
12188324,202310131212,26,2,0.076923,"135719,302589","27967,34218","12,25"
8581953,202310131810,44,2,0.045455,"131409,131175","32905,45676","28,38"
1022128,202310141721,403,2,0.004963,"129107,392041","42722,51","20,160"
1689994,202310141940,7,2,0.285714,"65833,497419","5666,509872","1,2"
2450236,202310142132,72,2,0.027778,"92074,98273","51,130","26,57"
391537,202310142219,89,2,0.022472,"131175,384732","45676,34218","18,39"
10615977,202310142341,43,2,0.046512,"384732,131175","34218,45676","27,34"
21510385,202310150018,9,2,0.222222,"20180,826613","2493,4293","4,5"
1685829,202310150228,5,2,0.4,"20180,826613","2493,4293","1,2"
1249923,202310150247,32,2,0.0625,"131409,131175","32905,45676","19,25"
219817275,202310150716,3,2,0.666667,"196049,196044","64830,27123","1,2"
